License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location,houseNo,street,borough,geoBBL,geoBIN
1275663,MICRO BREWER,101,MI,NewYork City,1,QUEENS,ROCKAWAY BREWING COMPANY LLC,,46-01 5TH ST,1ST FL,LONG ISLAND CITY,NY,11101,999999,4/28/2014,5/1/2018,4/30/2021,40.74711952,-73.95507195,"(40.7471195169, -73.9550719524)",46-01, 5TH ST,QUEENS,4000270025,4436579
1275663,MICRO BREWER,101,MI,NewYork City,1,QUEENS,ROCKAWAY BREWING COMPANY LLC,,46-01 5TH ST,1ST FL,LONG ISLAND CITY,NY,11101,999999,4/28/2014,5/1/2018,4/30/2021,40.74711995,-73.95508703,"(40.7471199503, -73.9550870275)",46-01, 5TH ST,QUEENS,4000270025,4436579
1276638,MICRO BREWER,101,MI,NewYork City,1,KINGS,FOLKSBIER BRAUEREI LLC,FOLKSBIER,103 LUQUER ST,,BROOKLYN,NY,11231,899013,5/5/2014,5/1/2018,4/30/2019,40.6779,-74.00099,"(40.6779, -74.00099)",103, LUQUER ST,KINGS,,
1283074,MICRO BREWER,101,MI,NewYork City,1,BRONX,CHELSEA CRAFT BREWING COMPANY LLC,CHELSEA BREWING COMPANY,463 E 173RD ST,STORE 2,BRONX,NY,10457,895213,11/19/2015,11/2/2017,10/31/2018,40.841809999999995,-73.90159,"(40.84181, -73.90159)",463, E 173RD ST,BRONX,2029060093,2124550
1286895,MICRO BREWER,101,MI,NewYork City,1,QUEENS,BRIDGE AND TUNNEL BREWERY LLC,,1535 DECATUR ST,,RIDGEWOOD,NY,11385,893684,11/3/2015,11/1/2017,10/31/2018,40.693870000000004,-73.90249,"(40.69387, -73.90249)",1535, DECATUR ST,QUEENS,4035410055,4437771
1290462,MICRO BREWER,101,MI,NewYork City,1,KINGS,KINGS COUNTY BREWERS COLLECTIVE LLC,,381 TROUTMAN ST,,BROOKLYN,NY,11237,863910,6/9/2016,8/1/2017,7/31/2018,40.70601,-73.92358,"(40.70601, -73.92358)",381, TROUTMAN ST,KINGS,,
1290993,MICRO BREWER,101,MI,NewYork City,1,KINGS,DISRUPTION GRAIN LLC,INTERBORO SPIRITS & ALES,942 GRAND ST,,BROOKLYN,NY,11211,901639,7/28/2016,7/1/2018,6/30/2019,40.712720000000004,-73.93697,"(40.71272, -73.93697)",942, GRAND ST,KINGS,,
1292743,MICRO BREWER,101,MI,NewYork City,1,RICHMOND,STATEN ISLAND BEER COMPANY INC,,20 KINSEY PL,WAREHOUSE C,STATEN ISLAND,NY,10303,897399,4/6/2016,4/1/2018,3/31/2019,40.62851,-74.16954,"(40.62851, -74.16954)",20, KINSEY PL,RICHMOND,,
1293083,MICRO BREWER,101,MI,NewYork City,1,KINGS,5 BOROUGHS BREWERY INC,FIVE BOROUGHS BREWING CO,215 47TH ST,,BROOKLYN,NY,11220,895629,1/26/2017,1/1/2018,12/31/2020,40.65059,-74.01478,"(40.65059, -74.01478)",215, 47TH ST,KINGS,,
1295133,MICRO BREWER,101,MI,NewYork City,1,QUEENS,DSCC VENTURES LLC,FIFTH HAMMER BREWING COMPANY,10-28 10-36 46TH AVE,,LONG ISLAND CITY,NY,11101,896101,3/13/2017,3/1/2018,2/28/2019,0.0,0.0,"(0.0, 0.0)",10-28, 10-36 46TH AVE,QUEENS,,
1296436,MICRO BREWER,101,MI,NewYork City,1,NEW YORK,ANHEUSER BUSCH LLC,,119-125 W 24TH ST,,NEW YORK,NY,10011,893209,9/29/2016,9/1/2017,8/31/2018,0.0,0.0,"(0.0, 0.0)",119-125, W 24TH ST,NEW YORK,,
1296436,MICRO BREWER,101,MI,NewYork City,1,NEW YORK,ANHEUSER BUSCH LLC,,119-125 W 24TH ST,,NEW YORK,NY,10011,893209,9/29/2016,9/1/2017,8/31/2018,0.0,0.0,"(0.0, 0.0)",119-125, W 24TH ST,NEW YORK,,
1298441,MICRO BREWER,101,MI,NewYork City,1,KINGS,GRIMM ALES LLC,GRIMM,990 METROPOLITAN AVE,,BROOKLYN,NY,11211,881817,8/24/2017,8/24/2017,7/31/2020,40.7144,-73.93651,"(40.7144, -73.93651)",990, METROPOLITAN AVE,KINGS,,
1301415,MICRO BREWER,101,MI,NewYork City,1,QUEENS,QB COLLECTIVE LLC,QUEENS BREWERY,15-39 COVERT ST,,RIDGEWOOD,NY,11385,882479,1/31/2018,1/31/2018,12/31/2018,40.69455,-73.9043,"(40.69455, -73.9043)",15-39, COVERT ST,QUEENS,4035390027,4085359
1305699,MICRO BREWER,101,MI,NewYork City,1,QUEENS,ICONYC BREWING COMPANY LLC,,37-18 NORTHERN BLVD,STE 020,LONG ISLAND CITY,NY,11101,894997,10/26/2017,10/26/2017,9/30/2020,40.75199,-73.92557,"(40.75199, -73.92557)",37-18, NORTHERN BLVD,QUEENS,4002140040,4003103
1306390,MICRO BREWER,101,MI,NewYork City,1,QUEENS,SEMB CF LLC,MIKKELLER BREWING NYC,123-01 ROOSEVELT AVE,"ROOM 01,R1,01",FLUSHING,NY,11368,897641,12/5/2017,12/5/2017,11/30/2018,40.754690000000004,-73.84561,"(40.75469, -73.84561)",123-01, ROOSEVELT AVE,QUEENS,4017870020,4536844
1308776,MICRO BREWER,101,MI,NewYork City,1,BRONX,FARLO LLC,GUN HILL BREWING COMPANY,3227 LACONIA AVE,,BRONX,NY,10469,9999999,5/9/2018,5/9/2018,9/30/2018,40.87212,-73.85576999999999,"(40.87212, -73.85577)",3227, LACONIA AVE,BRONX,2046130051,2056675
